fecha	cols	rows	boosting	objective	metric	data_sample_strategy	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	feature_fraction	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231130 194555	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	615	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.159363359994046	67	6839	0.680199348971092	0.896528697584661	36	0.3211435137387	0.455010789580716	12189	159834981.009495	39
20231130 194910	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	296	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.146026800498785	66	3722	0.657452032785764	0.747884092475352	36	0.575284498968855	0.221115269703106	10022	162291057.471264	40
20231130 195531	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	801	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0658530168498339	68	4829	0.657913446314738	0.676150990436084	37	0.116922704868514	0.526654781567554	13868	162186088.955522	41
20231130 195948	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	832	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.142582437987762	70	6586	0.662130637866952	0.761171305630382	21	0.0209894697472686	0.236954379637389	13864	159024103.948026	42
20231130 200206	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	262	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.236379964170784	68	4995	0.65349258536033	0.839888264414203	39	0.358533432775472	0.251048051652687	9798	160455819.090455	43
20231130 200501	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	314	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.209113280154125	48	4980	0.662482533720633	0.893940428931433	39	0.187019790826062	0.54750070010204	10418	160313160.41979	44
20231130 200700	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	227	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.249519123540969	67	5112	0.665224751344184	0.736506969137842	33	0.252908734949833	0.29260557546646	11490	158032048.975512	45
20231130 201009	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	460	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.108070900273955	68	1526	0.658341747324005	0.858327469296355	40	0.347034964882483	0.192813296196894	11189	160438639.18041	46
20231130 201817	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1100	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0856804198253211	49	5656	0.662536406014886	0.880852322017054	36	0.253448668725369	0.236119665756349	11814	164537382.308846	47
20231130 202335	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1278	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0773332318515379	75	7801	0.662674981415021	0.883695246719255	37	0.112106898700466	0.503999395930382	13012	161048233.883058	48
